Date,Receipt,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
02/10/2025,,WWW.TAX1099.COM     FAYETTEVILLE        AR,4.15,"NT_RKYFQGAK 8778113829
WWW.TAX1099.COM
FAYETTEVILLE
AR
8778113829",WWW.TAX1099.COM     FAYETTEVILLE        AR,"1 EAST CTR ST
SUITE 250","FAYETTEVILLE
AR",72701,UNITED STATES,'320250410949249513',Business Services-Employment Agencies
02/07/2025,,SOUNDLY PRO MONTHLY OSLO                OS,14.99,"NT_RJSPUQFU +4793294327
SOUNDLY PRO MONTHLY
OSLO
OS
+4793294327",SOUNDLY PRO MONTHLY OSLO                OS,"BYGDOY KAPELLVEI 20
OSLO",,0287,NORWAY,'320250390912949066',Merchandise & Supplies-Computer Supplies
02/05/2025,,SPECTRUM            855-707-7328        MO,39.25,"RC900004986CABLE SVC
SPECTRUM
855-707-7328
MO
CABLE SVC",SPECTRUM            855-707-7328        MO,12405 POWERSCOURT DR,"SAINT LOUIS
MO",63131,UNITED STATES,'320250360825247849',Communications-Cable & Internet Comm
01/31/2025,,FRAME.IO            SAN JOSE            CA,15.00,"NT_RGVCSGFU +12122777999
FRAME.IO
SAN JOSE
CA
+12122777999",FRAME.IO            SAN JOSE            CA,345 PARK AVE,"SAN JOSE
CA",95110,UNITED STATES,'320250320727488100',Merchandise & Supplies-Computer Supplies
01/29/2025,,BT*WAVES            KNOXVILLE           TN,24.99,"1MPB9C3F    8659099200
BT*WAVES
KNOXVILLE
TN
8659099200",BT*WAVES            KNOXVILLE           TN,2800 MERCHANT DR,"KNOXVILLE
TN",37912,UNITED STATES,'320250300669173289',Merchandise & Supplies-Computer Supplies
01/27/2025,,BEST BUY            PASADENA            CA,44.09,"000304503   888BESTBUY
BEST BUY
PASADENA
CA
Description : ELEC SLS Price : 0.00
888BESTBUY",BEST BUY            PASADENA            CA,3415 EAST FOOTHILL BLVD,"PASADENA
CA",91107,UNITED STATES,'320250280626625475',Merchandise & Supplies-Electronics Stores
01/27/2025,,WAVE PRO            DENVER              CO,16.00,"NT_RFLI32ZS +18888334751
WAVE PRO
DENVER
CO
+18888334751",WAVE PRO            DENVER              CO,"1550 WEWATTA ST
SUITE 200","DENVER
CO",80202,UNITED STATES,'320250280629982053',Merchandise & Supplies-Computer Supplies
01/21/2025,,INTUIT QUICKBOOKS   800-446-8848        CA,17.50,"41112E17375 CL.INTUIT.COM
INTUIT QUICKBOOKS
800-446-8848
CA
CL.INTUIT.COM",INTUIT QUICKBOOKS   800-446-8848        CA,2535 GARCIA AVE,"MOUNTAIN VIEW
CA",94043,UNITED STATES,'320250220475451358',Merchandise & Supplies-Computer Supplies
01/21/2025,,YOUR CASH REWARD/REFUND IS,-8.74,YOUR CASH REWARD/REFUND IS,YOUR CASH REWARD/REFUND IS,,,,,'320250220476439990',Fees & Adjustments-Fees & Adjustments
01/20/2025,,MOBILE PAYMENT - THANK YOU,-356.54,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320250200412914183',
01/15/2025,,DISTROKID EXTRAS    NEW YORK            NY,0.99,"NT_RAYAW2BV +14153666101
DISTROKID EXTRAS
NEW YORK
NY
+14153666101",DISTROKID EXTRAS    NEW YORK            NY,228 PARK AVE SOUTH,"NEW YORK
NY",10003,UNITED STATES,'320250160325464737',Other-Miscellaneous
01/15/2025,,WWW.XFERRECORDS.COM YUCCA VALLEY        CA,49.95,"NT_RAR6MKUJ +18186419274
WWW.XFERRECORDS.COM
YUCCA VALLEY
CA
+18186419274",WWW.XFERRECORDS.COM YUCCA VALLEY        CA,9574 BLACK ROCK CP,"YUCCA VALLEY
CA",92284,UNITED STATES,'320250160330723742',Business Services-Office Supplies
01/07/2025,,CBI*CLEVERBRIDGE.NET800-799-9570        IL,179.00,"490429787  490429787        91107
CBI*CLEVERBRIDGE.NET
800-799-9570
IL
490429787        91107",CBI*CLEVERBRIDGE.NET800-799-9570        IL,350 NORTH CLARK ST,"CHICAGO
IL",60654-4712,UNITED STATES,'320250070090731064',Business Services-Internet Services
01/07/2025,,FS *D16.PL          877-327-8914        CA,49.00,"XOZVOPYCSQ68D02919C9D1C0E26 93101
FS *D16.PL
877-327-8914
CA
8D02919C9D1C0E26 93101",FS *D16.PL          877-327-8914        CA,801 GDN ST 201,"SANTA BARBARA
CA",93101,UNITED STATES,'320250080126980454',Merchandise & Supplies-Internet Purchase
01/07/2025,,SOUNDLY PRO MONTHLY OSLO                OS,14.99,"NT_RXQPIWTJ +4793294327
SOUNDLY PRO MONTHLY
OSLO
OS
+4793294327",SOUNDLY PRO MONTHLY OSLO                OS,"BYGDOY KAPELLVEI 20
OSLO",,0287,NORWAY,'320250080124774897',Merchandise & Supplies-Computer Supplies
01/05/2025,,SPECTRUM            855-707-7328        MO,39.24,"RC125052341CABLE SVC
SPECTRUM
855-707-7328
MO
CABLE SVC",SPECTRUM            855-707-7328        MO,12405 POWERSCOURT DR,"SAINT LOUIS
MO",63131,UNITED STATES,'320250050046382508',Communications-Cable & Internet Comm
